,Variance
ba-700-6,27.091355102040815,
dms-700-6,75.43135510204081,
ba-700-7,23.531355102040813,
dms-700-7,53.282783673469396,
ba-700-8,21.16564081632653,
dms-700-8,59.25992653061225,
ba-700-9,33.98564081632653,
dms-700-9,57.25135510204082,
ba-700-10,20.331355102040817,
dms-700-10,58.38849795918368,
ba-700-11,27.47992653061224,
dms-700-11,50.257069387755095,
ba-700-12,25.99421224489796,
dms-700-12,66.79135510204082,
ba-700-13,24.89135510204082,
dms-700-13,59.857069387755104,
ba-700-14,24.9770693877551,
dms-700-14,59.78564081632652,
ba-700-15,24.151355102040817,
dms-700-15,63.074212244897964,
ba-700-16,21.60278367346939,
dms-700-16,69.89421224489794,
ba-700-17,29.485640816326537,
dms-700-17,69.98849795918366,
ba-700-18,35.14849795918367,
dms-700-18,64.21135510204081,
ba-700-19,25.182783673469388,
dms-700-19,63.83135510204082,
ba-700-20,23.019926530612246,
dms-700-20,63.03706938775511,
ba-700-21,23.7970693877551,
dms-700-21,57.14849795918367,
ba-700-22,30.082783673469386,
dms-700-22,61.6570693877551,
ba-700-23,27.86849795918367,
dms-700-23,74.61421224489797,
ba-700-24,23.505640816326526,
dms-700-24,67.0170693877551,
ba-700-25,26.894212244897965,
dms-700-25,59.0970693877551,
ba-700-26,28.205640816326536,
dms-700-26,58.64278367346938,
ba-700-27,22.382783673469383,
dms-700-27,79.62564081632652,
ba-700-28,24.059926530612245,
dms-700-28,66.14278367346938,
ba-700-29,21.614212244897963,
dms-700-29,73.58278367346938,
ba-700-30,31.04849795918367,
dms-700-30,69.69421224489795,
ba-700-31,23.914212244897953,
dms-700-31,63.66849795918368,
ba-700-32,23.24849795918368,
dms-700-32,57.31421224489796,
ba-700-33,20.9770693877551,
dms-700-33,70.7970693877551,
ba-700-34,26.16564081632653,
dms-700-34,69.68564081632653,
ba-700-35,21.331355102040817,
dms-700-35,62.30849795918367,
ba-700-36,25.74278367346939,
dms-700-36,69.52849795918367,
ba-700-37,30.20278367346939,
dms-700-37,62.92849795918367,
ba-700-38,18.937069387755102,
dms-700-38,87.08564081632653,
ba-700-39,21.117069387755095,
dms-700-39,70.2227836734694,
ba-800-0,32.352443750000006,
dms-800-0,69.53494375,
ba-800-1,22.594943749999995,
dms-800-1,69.83244375000001,
ba-800-2,28.22994375,
